"Symbol","Date","Open","High","Low","Close","Percent Change","Volume","Turn Over"
"OTHERS","2023-07-24","1577.35","1634.79","1556.68","1622.77","2.88 %","357,671,843.70","-"
"OTHERS","2023-07-23","1555","1589.62","1548.51","1577.34","1.44 %","65,672,099.30","-"
"OTHERS","2023-07-20","1562.55","1582.89","1549.92","1555","-0.48 %","45,391,310.20","-"
"OTHERS","2023-07-19","1577.66","1585.12","1558.85","1562.55","-0.96 %","43,957,569.30","-"
"OTHERS","2023-07-18","1569.95","1587.9","1569.87","1577.65","0.49 %","59,918,256.30","-"
"OTHERS","2023-07-17","1549.49","1575.11","1542.14","1569.94","1.32 %","47,413,942.00","-"
"OTHERS","2023-07-16","1542.98","1576.4","1542.95","1549.49","0.42 %","37,206,725.00","-"
"OTHERS","2023-07-13","1555.92","1576.64","1542.98","1542.98","-0.83 %","141,581,252.70","-"
"OTHERS","2023-07-12","1539.87","1564.4","1535.88","1555.91","1.04 %","101,793,253.90","-"
"OTHERS","2023-07-11","1548.19","1565.48","1531.09","1539.87","-0.54 %","39,849,898.90","-"
"OTHERS","2023-07-10","1564.14","1571.98","1532.76","1548.18","0.22 %","57,598,007.90","-"
"OTHERS","2023-07-09","1503.46","1550.73","1503.46","1544.79","2.75 %","59,320,812.90","-"
"OTHERS","2023-07-06","1509.01","1530.41","1491.58","1503.45","-0.37 %","40,431,678.00","-"
"OTHERS","2023-07-05","1564.93","1582.72","1506.86","1509","-2.37 %","56,378,550.00","-"
"OTHERS","2023-07-04","1521.02","1577.37","1519.74","1545.69","1.62 %","53,908,124.70","-"
"OTHERS","2023-07-03","1538.53","1585.54","1515.3","1521.02","-1.14 %","80,997,353.80","-"
"OTHERS","2023-07-02","1575.94","1592.15","1534.91","1538.53","-2.37 %","104,539,611.60","-"
"OTHERS","2023-06-28","1628.23","1628.23","1568.23","1575.93","-3.21 %","130,281,982.10","-"
"OTHERS","2023-06-27","1583.96","1664.67","1579","1628.23","2.02 %","121,718,869.80","-"
"OTHERS","2023-06-26","1616.19","1655.09","1581.77","1595.95","-0.50 %","115,070,884.90","-"
"OTHERS","2023-06-25","1524.41","1632.38","1524.41","1604.03","5.22 %","254,731,887.90","-"
"OTHERS","2023-06-22","1513.17","1547.84","1511.92","1524.41","0.74 %","87,211,812.40","-"
"OTHERS","2023-06-21","1520.48","1539.28","1493.73","1513.17","-0.48 %","138,517,823.40","-"
"OTHERS","2023-06-20","1563.22","1584.59","1512.05","1520.47","-2.40 %","156,835,967.70","-"
"OTHERS","2023-06-19","1534.09","1573.4","1533.96","1557.81","2.17 %","243,575,569.40","-"
"OTHERS","2023-06-18","1455.69","1527.85","1427.49","1524.69","6.00 %","233,150,042.50","-"
