Time,Open,High,Low,Close,Volume,Log_Return
2020-09-17,12501.0,12507.5,12499.75,12505.75,238.0,-0.014645443543168213
2020-09-18,12358.0,12380.25,12353.0,12363.5,5693.0,-0.011439955075598363
2020-09-20,12311.25,12318.75,12308.0,12314.0,328.0,-0.004011756976073144
2020-09-21,12388.25,12394.5,12381.75,12393.5,191.0,0.00643531513611606
2020-09-22,12531.0,12531.0,12521.75,12529.25,485.0,0.010893769146607113
2020-09-23,12208.5,12212.5,12204.25,12205.5,249.0,-0.026179240949057103
2020-09-24,12337.75,12342.5,12336.5,12341.0,81.0,0.011040382648362268
2020-09-25,12392.5,12396.25,12374.5,12377.0,4037.0,0.0029128590868374715
2020-09-27,12587.25,12590.25,12582.25,12584.5,286.0,0.016625986403035142
2020-09-28,12804.0,12806.25,12803.75,12805.0,128.0,0.017369821690568443
2020-09-29,12740.0,12758.0,12740.0,12753.5,655.0,-0.004029975914054518
